FPS, FrameTime, Latency
201.65, 4.96, 34.00
85.34, 11.72, 34.00
83.59, 11.96, 34.00
79.78, 12.54, 34.00
80.81, 12.37, 34.00
144.63, 6.91, 34.00
112.63, 8.88, 34.00
83.56, 11.97, 34.00
96.05, 10.41, 34.00
85.85, 11.65, 34.00
108.67, 9.20, 34.00
107.00, 9.35, 34.00
154.65, 6.47, 34.00
106.80, 9.36, 34.00
81.12, 12.33, 34.00
88.31, 11.32, 34.00
172.70, 5.79, 34.00
114.20, 8.76, 34.00
75.44, 13.26, 34.00
120.94, 8.27, 34.00
105.40, 9.49, 34.00
118.45, 8.44, 34.00
79.34, 12.60, 34.00
172.49, 5.80, 34.00
126.91, 7.88, 34.00
131.12, 7.63, 34.00
83.37, 11.99, 34.00
89.84, 11.13, 34.00
130.83, 7.64, 34.00
116.62, 8.58, 34.00
89.16, 11.22, 34.00
104.87, 9.54, 34.00
128.42, 7.79, 34.00
85.08, 11.75, 34.00
76.79, 13.02, 34.00
180.85, 5.53, 34.00
105.38, 9.49, 34.00
112.83, 8.86, 34.00
107.29, 9.32, 34.00
107.73, 9.28, 34.00
108.06, 9.25, 34.00
85.48, 11.70, 34.00
97.60, 10.25, 34.00
104.08, 9.61, 34.00
121.73, 8.21, 34.00
88.94, 11.24, 34.00
128.20, 7.80, 34.00
109.66, 9.12, 34.00
180.18, 5.55, 34.00
93.08, 10.74, 34.00
132.88, 7.53, 34.00
137.44, 7.28, 34.00
105.92, 9.44, 34.00
94.66, 10.56, 34.00
129.45, 7.72, 34.00
122.49, 8.16, 34.00
102.80, 9.73, 34.00
126.92, 7.88, 34.00
125.75, 7.95, 34.00
117.64, 8.50, 34.00
134.46, 7.44, 34.00
103.95, 9.62, 34.00
113.37, 8.82, 34.00
120.79, 8.28, 34.00
70.41, 14.20, 34.00
102.75, 9.73, 34.00
148.86, 6.72, 34.00
116.13, 8.61, 34.00
118.55, 8.44, 34.00
114.04, 8.77, 34.00
105.15, 9.51, 34.00
97.41, 10.27, 34.00
125.46, 7.97, 34.00
115.56, 8.65, 34.00
109.67, 9.12, 34.00
119.33, 8.38, 34.00
114.69, 8.72, 34.00
106.45, 9.39, 34.00
141.84, 7.05, 34.00
66.71, 14.99, 34.00
98.53, 10.15, 34.00
150.29, 6.65, 34.00
