FPS, FrameTime, Latency
87.57, 11.42, 34.00
41.62, 24.03, 34.00
91.42, 10.94, 34.00
76.88, 13.01, 34.00
65.47, 15.27, 34.00
91.59, 10.92, 34.00
73.49, 13.61, 34.00
79.76, 12.54, 34.00
64.70, 15.45, 34.00
58.92, 16.97, 34.00
95.70, 10.45, 34.00
64.68, 15.46, 34.00
64.37, 15.53, 34.00
49.27, 20.30, 34.00
44.28, 22.58, 34.00
164.60, 6.08, 34.00
75.20, 13.30, 34.00
74.30, 13.46, 34.00
89.20, 11.21, 34.00
64.90, 15.41, 34.00
81.00, 12.35, 34.00
77.88, 12.84, 34.00
58.95, 16.96, 34.00
62.71, 15.95, 34.00
77.06, 12.98, 34.00
48.76, 20.51, 34.00
146.45, 6.83, 34.00
58.49, 17.10, 34.00
69.53, 14.38, 34.00
68.90, 14.51, 34.00
81.81, 12.22, 34.00
57.32, 17.45, 34.00
97.60, 10.25, 34.00
55.91, 17.89, 34.00
73.64, 13.58, 34.00
73.48, 13.61, 34.00
62.10, 16.10, 34.00
56.08, 17.83, 34.00
127.30, 7.86, 34.00
59.66, 16.76, 34.00
71.33, 14.02, 34.00
62.67, 15.96, 34.00
61.35, 16.30, 34.00
90.90, 11.00, 34.00
82.12, 12.18, 34.00
65.87, 15.18, 34.00
45.69, 21.89, 34.00
103.50, 9.66, 34.00
72.42, 13.81, 34.00
47.26, 21.16, 34.00
149.92, 6.67, 34.00
75.68, 13.21, 34.00
49.89, 20.04, 34.00
79.55, 12.57, 34.00
35.60, 28.09, 34.00
118.19, 8.46, 34.00
38.25, 26.14, 34.00
79.01, 12.66, 34.00
90.98, 10.99, 34.00
40.69, 24.58, 34.00
96.37, 10.38, 34.00
81.11, 12.33, 34.00
60.14, 16.63, 34.00
50.40, 19.84, 34.00
99.93, 10.01, 34.00
65.20, 15.34, 34.00
94.60, 10.57, 34.00
76.23, 13.12, 34.00
79.63, 12.56, 34.00
70.05, 14.28, 34.00
64.41, 15.53, 34.00
79.42, 12.59, 34.00
92.98, 10.75, 34.00
49.16, 20.34, 34.00
98.79, 10.12, 34.00
82.85, 12.07, 34.00
62.51, 16.00, 34.00
82.86, 12.07, 34.00
71.29, 14.03, 34.00
71.06, 14.07, 34.00
68.39, 14.62, 34.00
92.65, 10.79, 34.00
73.08, 13.68, 34.00
98.49, 10.15, 34.00
63.55, 15.74, 34.00
99.84, 10.02, 34.00
74.91, 13.35, 34.00
83.68, 11.95, 34.00
45.93, 21.77, 34.00
95.69, 10.45, 34.00
101.90, 9.81, 34.00
86.63, 11.54, 34.00
98.20, 10.18, 34.00
56.08, 17.83, 34.00
41.51, 24.09, 34.00
69.03, 14.49, 34.00
57.58, 17.37, 34.00
115.28, 8.67, 34.00
82.68, 12.09, 34.00
50.16, 19.94, 34.00
86.33, 11.58, 34.00
97.88, 10.22, 34.00
32.70, 30.58, 34.00
71.38, 14.01, 34.00
72.98, 13.70, 34.00
52.42, 19.08, 34.00
69.15, 14.46, 34.00
46.13, 21.68, 34.00
121.38, 8.24, 34.00
79.52, 12.58, 34.00
76.48, 13.08, 34.00
55.43, 18.04, 34.00
78.77, 12.69, 34.00
66.32, 15.08, 34.00
131.50, 7.60, 34.00
69.60, 14.37, 34.00
75.07, 13.32, 34.00
71.19, 14.05, 34.00
128.83, 7.76, 34.00
50.92, 19.64, 34.00
66.50, 15.04, 34.00
179.80, 5.56, 34.00
71.26, 14.03, 34.00
53.20, 18.80, 34.00
57.10, 17.51, 34.00
57.94, 17.26, 34.00
47.63, 20.99, 34.00
61.16, 16.35, 34.00
65.44, 15.28, 34.00
66.89, 14.95, 34.00
110.17, 9.08, 34.00
60.14, 16.63, 34.00
47.57, 21.02, 34.00
75.97, 13.16, 34.00
65.01, 15.38, 34.00
52.93, 18.89, 34.00
119.91, 8.34, 34.00
57.58, 17.37, 34.00
76.16, 13.13, 34.00
56.04, 17.84, 34.00
71.79, 13.93, 34.00
66.06, 15.14, 34.00
49.05, 20.39, 34.00
66.46, 15.05, 34.00
78.06, 12.81, 34.00
74.80, 13.37, 34.00
71.89, 13.91, 34.00
95.37, 10.49, 34.00
79.25, 12.62, 34.00
62.39, 16.03, 34.00
61.04, 16.38, 34.00
88.16, 11.34, 34.00
51.26, 19.51, 34.00
94.23, 10.61, 34.00
75.84, 13.19, 34.00
51.20, 19.53, 34.00
147.94, 6.76, 34.00
78.05, 12.81, 34.00
81.96, 12.20, 34.00
73.17, 13.67, 34.00
70.37, 14.21, 34.00
82.07, 12.18, 34.00
82.75, 12.08, 34.00
62.98, 15.88, 34.00
60.34, 16.57, 34.00
64.07, 15.61, 34.00
180.29, 5.55, 34.00
71.41, 14.00, 34.00
54.78, 18.25, 34.00
76.55, 13.06, 34.00
83.47, 11.98, 34.00
57.90, 17.27, 34.00
91.85, 10.89, 34.00
73.71, 13.57, 34.00
55.30, 18.08, 34.00
139.81, 7.15, 34.00
103.90, 9.62, 34.00
52.59, 19.02, 34.00
98.96, 10.11, 34.00
43.93, 22.76, 34.00
74.95, 13.34, 34.00
67.19, 14.88, 34.00
87.59, 11.42, 34.00
44.54, 22.45, 34.00
80.39, 12.44, 34.00
89.50, 11.17, 34.00
42.69, 23.42, 34.00
65.71, 15.22, 34.00
78.80, 12.69, 34.00
34.63, 28.88, 34.00
98.79, 10.12, 34.00
53.97, 18.53, 34.00
51.78, 19.31, 34.00
151.50, 6.60, 34.00
50.84, 19.67, 34.00
67.30, 14.86, 34.00
59.49, 16.81, 34.00
71.39, 14.01, 34.00
60.05, 16.65, 34.00
45.46, 22.00, 34.00
55.69, 17.96, 34.00
75.99, 13.16, 34.00
96.17, 10.40, 34.00
83.86, 11.93, 34.00
90.97, 10.99, 34.00
50.36, 19.86, 34.00
79.64, 12.56, 34.00
65.08, 15.37, 34.00
74.70, 13.39, 34.00
65.02, 15.38, 34.00
73.32, 13.64, 34.00
60.49, 16.53, 34.00
70.75, 14.13, 34.00
123.24, 8.11, 34.00
69.01, 14.49, 34.00
75.56, 13.23, 34.00
55.34, 18.07, 34.00
89.91, 11.12, 34.00
67.89, 14.73, 34.00
47.87, 20.89, 34.00
132.59, 7.54, 34.00
68.10, 14.68, 34.00
83.39, 11.99, 34.00
60.34, 16.57, 34.00
87.60, 11.42, 34.00
48.00, 20.83, 34.00
63.06, 15.86, 34.00
68.38, 14.63, 34.00
103.39, 9.67, 34.00
83.09, 12.04, 34.00
78.89, 12.68, 34.00
63.67, 15.71, 34.00
73.34, 13.63, 34.00
67.65, 14.78, 34.00
98.47, 10.16, 34.00
86.17, 11.60, 34.00
63.71, 15.70, 34.00
68.73, 14.55, 34.00
76.61, 13.05, 34.00
54.52, 18.34, 34.00
57.78, 17.31, 34.00
122.74, 8.15, 34.00
84.95, 11.77, 34.00
68.52, 14.59, 34.00
72.87, 13.72, 34.00
61.26, 16.32, 34.00
105.76, 9.46, 34.00
93.93, 10.65, 34.00
59.94, 16.68, 34.00
96.13, 10.40, 34.00
66.80, 14.97, 34.00
79.11, 12.64, 34.00
65.66, 15.23, 34.00
68.32, 14.64, 34.00
57.01, 17.54, 34.00
57.68, 17.34, 34.00
75.71, 13.21, 34.00
74.75, 13.38, 34.00
45.47, 21.99, 34.00
69.55, 14.38, 34.00
65.86, 15.18, 34.00
78.17, 12.79, 34.00
50.86, 19.66, 34.00
62.66, 15.96, 34.00
102.55, 9.75, 34.00
83.04, 12.04, 34.00
86.00, 11.63, 34.00
66.74, 14.98, 34.00
44.85, 22.30, 34.00
76.00, 13.16, 34.00
61.74, 16.20, 34.00
33.98, 29.43, 34.00
78.80, 12.69, 34.00
39.14, 25.55, 34.00
80.41, 12.44, 34.00
79.15, 12.63, 34.00
64.31, 15.55, 34.00
86.27, 11.59, 34.00
79.13, 12.64, 34.00
63.40, 15.77, 34.00
47.71, 20.96, 34.00
88.95, 11.24, 34.00
102.76, 9.73, 34.00
55.47, 18.03, 34.00
45.99, 21.75, 34.00
84.69, 11.81, 34.00
70.24, 14.24, 34.00
53.30, 18.76, 34.00
81.42, 12.28, 34.00
78.47, 12.74, 34.00
67.58, 14.80, 34.00
94.05, 10.63, 34.00
94.99, 10.53, 34.00
77.23, 12.95, 34.00
60.64, 16.49, 34.00
59.73, 16.74, 34.00
116.39, 8.59, 34.00
45.56, 21.95, 34.00
76.67, 13.04, 34.00
98.49, 10.15, 34.00
76.23, 13.12, 34.00
54.38, 18.39, 34.00
115.94, 8.63, 34.00
80.77, 12.38, 34.00
70.02, 14.28, 34.00
88.93, 11.24, 34.00
93.74, 10.67, 34.00
90.34, 11.07, 34.00
108.80, 9.19, 34.00
94.95, 10.53, 34.00
60.67, 16.48, 34.00
98.32, 10.17, 34.00
95.23, 10.50, 34.00
75.58, 13.23, 34.00
49.59, 20.17, 34.00
121.26, 8.25, 34.00
79.26, 12.62, 34.00
68.50, 14.60, 34.00
76.00, 13.16, 34.00
105.55, 9.47, 34.00
75.36, 13.27, 34.00
59.10, 16.92, 34.00
77.50, 12.90, 34.00
107.71, 9.28, 34.00
85.57, 11.69, 34.00
90.08, 11.10, 34.00
98.86, 10.12, 34.00
56.12, 17.82, 34.00
95.67, 10.45, 34.00
70.14, 14.26, 34.00
102.24, 9.78, 34.00
54.61, 18.31, 34.00
52.62, 19.00, 34.00
90.55, 11.04, 34.00
48.69, 20.54, 34.00
79.93, 12.51, 34.00
40.60, 24.63, 34.00
103.19, 9.69, 34.00
52.70, 18.98, 34.00
46.42, 21.54, 34.00
70.15, 14.26, 34.00
74.14, 13.49, 34.00
35.65, 28.05, 34.00
109.23, 9.15, 34.00
68.48, 14.60, 34.00
48.88, 20.46, 34.00
75.75, 13.20, 34.00
36.80, 27.17, 34.00
62.64, 15.96, 34.00
79.69, 12.55, 34.00
54.68, 18.29, 34.00
60.76, 16.46, 34.00
95.81, 10.44, 34.00
65.47, 15.27, 34.00
67.62, 14.79, 34.00
89.11, 11.22, 34.00
79.03, 12.65, 34.00
69.34, 14.42, 34.00
51.27, 19.50, 34.00
96.14, 10.40, 34.00
60.67, 16.48, 34.00
60.96, 16.41, 34.00
50.82, 19.68, 34.00
84.56, 11.83, 34.00
73.27, 13.65, 34.00
44.82, 22.31, 34.00
118.13, 8.47, 34.00
47.56, 21.03, 34.00
79.43, 12.59, 34.00
72.59, 13.78, 34.00
46.87, 21.34, 34.00
68.89, 14.52, 34.00
75.42, 13.26, 34.00
53.10, 18.83, 34.00
100.06, 9.99, 34.00
76.69, 13.04, 34.00
70.51, 14.18, 34.00
164.31, 6.09, 34.00
45.22, 22.12, 34.00
79.49, 12.58, 34.00
84.93, 11.77, 34.00
48.01, 20.83, 34.00
59.05, 16.94, 34.00
95.87, 10.43, 34.00
68.17, 14.67, 34.00
57.53, 17.38, 34.00
85.02, 11.76, 34.00
50.85, 19.67, 34.00
68.64, 14.57, 34.00
72.45, 13.80, 34.00
79.36, 12.60, 34.00
67.09, 14.90, 34.00
80.43, 12.43, 34.00
68.82, 14.53, 34.00
71.08, 14.07, 34.00
69.15, 14.46, 34.00
66.41, 15.06, 34.00
53.35, 18.74, 34.00
63.09, 15.85, 34.00
85.38, 11.71, 34.00
57.87, 17.28, 34.00
68.05, 14.70, 34.00
47.44, 21.08, 34.00
127.59, 7.84, 34.00
68.14, 14.68, 34.00
53.90, 18.55, 34.00
130.04, 7.69, 34.00
60.56, 16.51, 34.00
69.86, 14.32, 34.00
71.67, 13.95, 34.00
75.72, 13.21, 34.00
103.45, 9.67, 34.00
52.18, 19.17, 34.00
82.91, 12.06, 34.00
79.25, 12.62, 34.00
51.50, 19.42, 34.00
93.38, 10.71, 34.00
69.23, 14.44, 34.00
63.12, 15.84, 34.00
75.22, 13.29, 34.00
110.67, 9.04, 34.00
71.84, 13.92, 34.00
62.80, 15.92, 34.00
55.29, 18.09, 34.00
156.45, 6.39, 34.00
45.00, 22.22, 34.00
110.74, 9.03, 34.00
47.66, 20.98, 34.00
84.28, 11.87, 34.00
80.41, 12.44, 34.00
64.39, 15.53, 34.00
63.91, 15.65, 34.00
70.20, 14.25, 34.00
83.50, 11.98, 34.00
64.18, 15.58, 34.00
102.17, 9.79, 34.00
76.61, 13.05, 34.00
66.71, 14.99, 34.00
71.28, 14.03, 34.00
64.42, 15.52, 34.00
65.35, 15.30, 34.00
68.08, 14.69, 34.00
97.97, 10.21, 34.00
